Index,Sigma,Freq,Ratio_SF,True_Thickness,Pred_Thickness,Error_Abs,Ratio_Category,Thick_Category
679,0.08,10.4,0.007692307801783741,4.000000183988009,3.9556227,0.04437751095334086,中比值 (过渡区),薄环流
680,0.08,12.2,0.006557377004592105,4.000000183988009,3.8246956,0.1753045968298057,中比值 (过渡区),薄环流
681,0.12,10.6,0.011320754055466535,21.999999918056112,22.123684,0.1236840113872475,高比值 (阻性主导),厚环流
682,-4.583865e-10,9.8,-4.6774131271377555e-11,2.0000003047648285,1.9705955,0.02940482575329284,低比值 (容性主导),薄环流
683,0.08,17.4,0.0045977011471923426,6.00000006321119,5.7278657,0.2721343672578209,中比值 (过渡区),薄环流
684,0.02,1.2000004,0.01666666065092322,16.0000000751217,16.00431,0.00431053278845539,高比值 (阻性主导),中等环流
685,0.12,10.2,0.011764705838231944,12.000000008778036,12.049065,0.049064627452432674,高比值 (阻性主导),中等环流
686,0.1,12.4,0.008064516496646815,21.999999918056112,22.060696,0.060695730137247494,中比值 (过渡区),厚环流
687,0.02,10.2,0.001960784306371991,13.99999999063365,13.923999,0.07600115793101381,低比值 (容性主导),中等环流
688,0.02,1.6,0.01249999952652622,6.00000006321119,6.0173097,0.01730960246874158,高比值 (阻性主导),薄环流
689,0.12,16.800001,0.0071428564962081895,18.000000159609748,17.828653,0.17134682403845858,中比值 (过渡区),厚环流
690,0.02,3.0000002,0.006666665985613822,6.00000006321119,5.870531,0.12946898105786975,中比值 (过渡区),薄环流
691,0.1,10.2,0.0098039218970845,2.0000003047648285,1.9222909,0.07770938355358581,高比值 (阻性主导),薄环流
692,0.02,7.2,0.002777777788889785,7.999999942434371,7.820327,0.1796731373196252,低比值 (容性主导),薄环流
693,0.06,0.40000024,0.1499999046301559,21.999999918056112,21.77294,0.22706023604927594,高比值 (阻性主导),厚环流
694,0.1,16.800001,0.00595238063525028,21.999999918056112,22.108091,0.10809143631400531,中比值 (过渡区),厚环流
695,-4.583865e-10,18.8,-2.438226138327333e-11,7.999999942434371,7.788353,0.21164697612577754,低比值 (容性主导),薄环流
696,0.12,18.2,0.0065934061692762575,23.999999797279294,23.478996,0.5210035204238253,中比值 (过渡区),厚环流
697,-4.583865e-10,6.2,-7.393330797668674e-11,6.00000006321119,5.9889116,0.011088434488045529,低比值 (容性主导),薄环流
698,0.02,9.0,0.0022222221723047714,13.99999999063365,13.939511,0.060488691500349745,低比值 (容性主导),中等环流
699,0.02,12.8,0.0015624999416702697,21.999999918056112,22.441486,0.44148644058646624,低比值 (容性主导),厚环流
700,0.1,7.0,0.0142857144965472,20.00000003883293,19.846462,0.15353778907707039,高比值 (阻性主导),厚环流
701,0.08,9.6,0.008333332815063868,20.00000003883293,19.766405,0.23359493324210945,中比值 (过渡区),厚环流
702,0.06,3.6000001,0.016666665627234217,2.0000003047648285,2.047163,0.0471627048787262,高比值 (阻性主导),薄环流
703,0.1,13.4,0.007462686890256908,13.99999999063365,13.78449,0.2155103589808185,中比值 (过渡区),中等环流
704,0.04,9.0,0.004444444344609543,23.999999797279294,23.816063,0.18393687003320025,中比值 (过渡区),厚环流
705,0.02,6.7999997,0.002941176528161962,2.0000003047648285,1.6975433,0.3024570413294647,低比值 (容性主导),薄环流
